 Maintaining 16 concurrent writes of 262144 bytes for at least 300 seconds.
 Object prefix: benchmark_data_Client_5754
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16       414       398   99.4768      99.5  0.009388 0.0171418
     2      16       849       833   104.106    108.75  0.008674 0.0378002
     3      16       872       856   71.3212      5.75  0.008892 0.0372137
     4      16      1136      1120   69.9889        66  0.008934 0.0559721
     5      16      1439      1423   71.1392     75.75  0.009056 0.0558857
     6      16      1476      1460   60.8247      9.25  0.010802 0.0550769
     7      16      1476      1460   52.1357         0         - 0.0550769
     8      16      1476      1460   45.6191         0         - 0.0550769
     9      16      1476      1460   40.5505         0         - 0.0550769
    10      16      2033      2017   50.4188   34.8125  0.024579 0.0792586
    11      16      2876      2860   64.9917    210.75  0.007975 0.0614702
    12      16      3222      3206   66.7832      86.5  0.009473 0.0585744
    13      16      3222      3206   61.6459         0         - 0.0585744
    14      16      3353      3337   59.5818    16.375  0.009959 0.0646962
    15      16      3353      3337   55.6096         0         - 0.0646962
    16      16      3353      3337   52.1342         0         - 0.0646962
    17      16      3353      3337   49.0675         0         - 0.0646962
    18      16      3353      3337   46.3417         0         - 0.0646962
    19      16      3698      3682   48.4416     17.25  0.008613 0.0822786
2013-09-25 07:29:34.629981min lat: 0.006928 max lat: 4.72478 avg lat: 0.0824957
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16      3851      3835   47.9317     38.25  0.008755 0.0824957
    21      16      3994      3978   47.3514     35.75  0.013347 0.0841011
    22      16      4470      4454   50.6075       119  0.018006 0.0789024
    23      16      4535      4519   49.1135     16.25  0.009751 0.0779563
    24      16      4535      4519   47.0671         0         - 0.0779563
    25      16      4535      4519   45.1844         0         - 0.0779563
    26      16      4535      4519   43.4466         0         - 0.0779563
    27      16      4535      4519   41.8375         0         - 0.0779563
    28      16      5155      5139   45.8785        31  0.022471 0.0871279
    29      16      5976      5960   51.3731    205.25  0.049767 0.0778135
    30      16      6184      6168   51.3938        52  0.009673 0.0777681
    31      16      6730      6714   54.1387     136.5  0.009141 0.0735199
    32      16      6730      6714    52.447         0         - 0.0735199
    33      16      6788      6772   51.2969      7.25  0.011595 0.0773073
    34      16      6788      6772   49.7883         0         - 0.0773073
    35      16      6857      6841   48.8585     8.625   0.00866 0.0786827
    36      16      6857      6841   47.5013         0         - 0.0786827
    37      16      6857      6841   46.2175         0         - 0.0786827
    38      16      6857      6841   45.0013         0         - 0.0786827
    39      16      6956      6940   44.4819    6.1875  0.011252  0.089887
2013-09-25 07:29:54.632337min lat: 0.006853 max lat: 6.20732 avg lat: 0.0853084
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16      7443      7427   46.4132    121.75  0.009865 0.0853084
    41      16      7522      7506   45.7628     19.75  0.010961 0.0871438
    42      16      8096      8080   48.0895     143.5  0.098581 0.0831348
    43      16      8196      8180   47.5524        25  0.010426 0.0823078
    44      16      8197      8181   46.4773      0.25  0.870482 0.0824042
    45      16      8197      8181   45.4445         0         - 0.0824042
    46      16      8197      8181   44.4566         0         - 0.0824042
    47      16      8197      8181   43.5107         0         - 0.0824042
    48      16      8197      8181   42.6042         0         - 0.0824042
    49      16      8197      8181   41.7348         0         - 0.0824042
    50      16      8515      8499   42.4899     13.25  0.010818 0.0937685
    51      16      8703      8687   42.5782        47   0.00981 0.0933598
    52      16      8817      8801   42.3073      28.5  0.009547 0.0942278
    53      16      8911      8895   41.9524      23.5  0.011076 0.0944571
    54      16      9525      9509   44.0178     153.5  0.009823 0.0908454
    55      16      9710      9694   44.0582     46.25  0.010042 0.0895027
    56      16      9800      9784   43.6732      22.5   0.00917 0.0904201
    57      16     10344     10328   45.2927       136  0.009921 0.0880605
    58      16     10521     10505   45.2746     44.25  0.012736 0.0876472
    59      16     10596     10580    44.825     18.75  0.011038 0.0877386
2013-09-25 07:30:14.634971min lat: 0.006853 max lat: 7.52717 avg lat: 0.0894193
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    60      16     10713     10697   44.5653     29.25  0.012019 0.0894193
    61      16     10741     10725   43.9495         7  0.010629 0.0892157
    62      16     10741     10725   43.2406         0         - 0.0892157
    63      16     10741     10725   42.5543         0         - 0.0892157
    64      15     10939     10924   42.6666   16.5833  0.010592 0.0936981
    65      16     10989     10973   42.1986     12.25  0.010979  0.093335
    66      16     11185     11169   42.3015        49  0.010945  0.094534
    67      16     11946     11930   44.5094    190.25  0.013553 0.0898521
    68      16     12415     12399   45.5789    117.25   0.00981 0.0872152
    69      16     12415     12399   44.9183         0         - 0.0872152
    70      16     13012     12996   46.4085    74.625  0.013692 0.0861237
    71      16     13562     13546   47.6912     137.5  0.059455 0.0838176
    72      16     13695     13679   47.4906     33.25  0.045957 0.0835847
    73      16     13695     13679     46.84         0         - 0.0835847
    74      16     13699     13683   46.2205       0.5  0.010883 0.0837077
    75      16     13784     13768   45.8876     21.25  0.009247 0.0862777
    76      16     13815     13799   45.3857      7.75  0.008878 0.0872242
    77      16     13887     13871     45.03        18   0.01147 0.0876449
    78      16     13887     13871   44.4527         0         - 0.0876449
    79      16     14137     14121    44.681     31.25  0.014459 0.0894384
2013-09-25 07:30:34.637730min lat: 0.006853 max lat: 7.52717 avg lat: 0.0888258
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    80      16     14373     14357   44.8599        59  0.011183 0.0888258
    81      16     14420     14404   44.4511     11.75  0.009856 0.0898086
    82      16     14479     14463   44.0889     14.75   0.01112 0.0896428
    83      16     14986     14970   45.0846    126.75  0.015266 0.0886996
    84      16     15732     15716   46.7678     186.5  0.031122 0.0855124
    85      16     16086     16070   47.2586      88.5  0.009845 0.0842427
    86      16     16130     16114    46.837        11  0.022323 0.0848957
    87      16     16453     16437   47.2267     80.75  0.026147 0.0846819
    88      16     16573     16557   47.0309        30   0.01221 0.0841913
    89      16     16573     16557   46.5025         0         - 0.0841913
    90      16     17020     17004   47.2273    55.875  0.010441 0.0846216
    91      16     17113     17097   46.9638     23.25   0.01021 0.0845144
    92      16     17510     17494    47.532     99.25  0.011628 0.0841435
    93      16     17810     17794   47.8272        75  0.008833 0.0830538
    94      16     17855     17839   47.4381     11.25  0.009469 0.0836075
    95      16     17925     17909   47.1229      17.5  0.010754 0.0838528
    96      16     17925     17909   46.6321         0         - 0.0838528
    97      16     18063     18047   46.5069     17.25  0.008954 0.0857282
    98      16     18089     18073   46.0987       6.5  0.009683  0.085622
    99      16     18089     18073    45.633         0         -  0.085622
2013-09-25 07:30:54.640360min lat: 0.006853 max lat: 7.52717 avg lat: 0.0882104
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
