 Maintaining 16 concurrent writes of 4194304 bytes for at least 300 seconds.
 Object prefix: benchmark_data_Client_5912
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16       114        98   391.791       392  0.197287  0.149888
     2      16       202       186   371.874       352  0.074587   0.15335
     3      16       292       276   367.897       360  0.099743  0.167569
     4      16       385       369   368.909       372  0.215795  0.169339
     5      16       481       465   371.913       384  0.126988   0.16969
     6      16       563       547   364.586       328  0.067901  0.164001
     7      16       593       577   329.644       120  0.123213  0.160568
     8      16       667       651   325.433       296  0.171176  0.193721
     9      16       715       699   310.604       192  0.070762  0.191299
    10      16       734       718   287.144        76   2.03335  0.192304
    11      16       826       810   294.489       368  0.109308  0.214819
    12      16       933       917   305.609       428  0.249572  0.208001
    13      16      1038      1022   314.403       420  0.149583   0.20192
    14      16      1140      1124   321.084       408  0.121149   0.19775
    15      16      1232      1216   324.207       368   0.07477  0.193049
    16      16      1271      1255   313.693       156  0.080816  0.189928
    17      16      1278      1262   296.888        28  0.070829  0.189653
    18      16      1310      1294   287.505       128  0.240909  0.220945
    19      16      1402      1386   291.739       368  0.076769  0.218277
2013-09-25 07:54:21.944454min lat: 0.060845 max lat: 3.46425 avg lat: 0.218067
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16      1478      1462   292.349       304  0.111432  0.218067
    21      16      1572      1556   296.329       376  0.172721  0.214828
    22      16      1645      1629    296.13       292  0.386402  0.215238
    23      16      1748      1732   301.165       412  0.100303  0.211503
    24      16      1843      1827   304.448       380  0.178167  0.209406
    25      16      1870      1854   296.589       108  0.444836  0.208604
    26      16      1895      1879   289.027       100  0.085704  0.215927
    27      16      1932      1916   283.804       148  0.080431   0.21873
    28      16      1988      1972   281.666       224  0.122976  0.221878
    29      16      2065      2049   282.573       308   0.07624  0.225623
    30      16      2156      2140   285.285       364  0.256677  0.223448
    31      16      2221      2205   284.468       260  0.080086  0.221934
    32      16      2274      2258   282.202       212  0.130384  0.224878
    33      16      2304      2288   277.286       120  0.129692  0.224446
    34      16      2319      2303   270.895        60   0.07598  0.223642
    35      16      2352      2336   266.926       132  0.088954  0.238142
    36      16      2447      2431   270.065       380  0.075435  0.236286
    37      16      2543      2527   273.143       384  0.147076  0.233297
    38      16      2593      2577   271.217       200  0.071679  0.231468
    39      16      2627      2611   267.749       136  0.085852  0.237234
2013-09-25 07:54:41.947847min lat: 0.058125 max lat: 3.75743 avg lat: 0.236124
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16      2667      2651   265.055       160  0.067277  0.236124
    41      16      2668      2652   258.687         4  0.128982  0.236083
    42      16      2711      2695   256.623       172  0.180067   0.24553
    43      16      2788      2772   257.817       308  0.114541   0.24778
    44      16      2866      2850   259.047       312  0.065711  0.245064
    45      16      2885      2869   254.979        76  0.166655  0.244071
    46      16      2939      2923   254.131       216  0.139999  0.251287
    47      16      3023      3007   255.871       336  0.126914  0.249642
    48      16      3113      3097   258.039       360  0.098688  0.247395
    49      16      3191      3175    259.14       312  0.077736  0.246028
    50      16      3239      3223   257.796       192  0.075442  0.246115
    51      16      3336      3320   260.348       388  0.239105  0.245267
    52      16      3415      3399   261.418       316  0.084503  0.243479
    53      16      3497      3481   262.673       328  0.075268  0.242187
    54      16      3546      3530   261.437       196  0.081726  0.243847
    55      16      3582      3566   259.302       144  0.092846  0.242768
    56      16      3589      3573   255.172        28  0.074423  0.242457
    57      16      3589      3573   250.695         0         -  0.242457
    58      16      3589      3573   246.373         0         -  0.242457
    59      16      3589      3573   242.198         0         -  0.242457
2013-09-25 07:55:01.950774min lat: 0.058125 max lat: 3.75743 avg lat: 0.242457
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    60      16      3589      3573   238.161         0         -  0.242457
    61      16      3589      3573   234.257         0         -  0.242457
    62      16      3589      3573   230.479         0         -  0.242457
    63      16      3606      3590     227.9   9.71429  0.072601   0.26417
    64      16      3703      3687   230.401       388  0.113401  0.277443
    65      16      3809      3793   233.378       424  0.116602  0.273758
    66      16      3907      3891    235.78       392  0.349683  0.271075
    67      16      4002      3986   237.932       380  0.252429    0.2686
    68      16      4087      4071   239.432       340   0.09762   0.26623
