 Maintaining 16 concurrent writes of 4194304 bytes for at least 300 seconds.
 Object prefix: benchmark_data_Client_6625
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16        97        81   323.892       324   0.32416  0.177402
     2      16       193       177   353.913       384  0.130272  0.173554
     3      16       296       280   373.252       412  0.130156  0.166395
     4      16       387       371   370.924       364  0.075948  0.159978
     5      16       430       414   331.135       172   1.58597  0.161284
     6      16       516       500   333.273       344  0.088893  0.182361
     7      16       545       529   302.231       116  0.068683  0.178139
     8      16       548       532   265.954        12  0.078304  0.177584
     9      16       548       532   236.404         0         -  0.177584
    10      16       548       532   212.764         0         -  0.177584
    11      16       548       532   193.424         0         -  0.177584
    12      16       569       553   184.304        21   6.41487  0.280349
    13      16       664       648   199.353       380  0.074375   0.31699
    14      16       750       734   209.682       344  0.149149  0.302591
    15      16       847       831   221.566       388  0.348311  0.287424
    16      16       950       934   233.465       412  0.112593  0.272604
    17      16      1054      1038   244.199       416  0.096411  0.260501
    18      16      1134      1118   248.407       320  0.149073  0.254224
    19      16      1186      1170    246.28       208  0.439221  0.255074
2013-09-25 09:32:06.793994min lat: 0.06389 max lat: 7.30372 avg lat: 0.25512
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16      1223      1207   241.365       148  0.080761   0.25512
    21      16      1230      1214   231.204        28  0.074714  0.254206
    22      16      1230      1214   220.695         0         -  0.254206
    23      16      1230      1214     211.1         0         -  0.254206
    24      16      1230      1214   202.304         0         -  0.254206
    25      16      1294      1278   204.451        64  0.113811  0.311432
    26      16      1407      1391    213.97       452   0.10405  0.298177
    27      16      1495      1479    219.08       352  0.060842  0.290405
    28      16      1590      1574   224.826       380  0.123726  0.283828
    29      16      1658      1642   226.451       272  0.090114  0.279086
    30      16      1689      1673   223.035       124  0.106947  0.277057
    31      16      1704      1688   217.776        60  0.071648  0.275388
    32      16      1708      1692   211.471        16  0.072969  0.274986
    33      16      1708      1692   205.062         0         -  0.274986
    34      16      1708      1692   199.032         0         -  0.274986
    35      16      1708      1692   193.345         0         -  0.274986
    36      16      1737      1721   191.196        29  0.102864  0.323265
    37      16      1822      1806   195.216       340  0.101872  0.325023
    38      16      1925      1909    200.92       412  0.152573  0.317872
    39      16      2018      2002   205.305       372  0.165712  0.310434
2013-09-25 09:32:26.796569min lat: 0.060842 max lat: 7.96471 avg lat: 0.304929
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16      2104      2088   208.771       344  0.229185  0.304929
    41      16      2146      2130   207.776       168  0.070005  0.302045
    42      16      2222      2206   210.066       304   0.15972  0.302955
    43      16      2253      2237   208.063       124    0.0809   0.30026
    44      16      2254      2238   203.426         4   1.29027  0.300702
    45      16      2259      2243   199.349        20  0.071844  0.300963
    46      16      2259      2243   195.016         0         -  0.300963
    47      16      2259      2243   190.867         0         -  0.300963
    48      16      2321      2305   192.056   82.6667  0.133195  0.332072
    49      16      2422      2406   196.381       404  0.094479  0.325353
    50      16      2519      2503   200.212       388  0.250394  0.319026
