 Maintaining 16 concurrent writes of 65536 bytes for at least 300 seconds.
 Object prefix: benchmark_data_Client_6320
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      1050      1034   64.5979    64.625  0.011566 0.0152506
     2      16      1479      1463   45.7063   26.8125  0.012603 0.0194324
     3      16      1706      1690   35.2004   14.1875  0.005256 0.0250718
     4      16      1913      1897   29.6351   12.9375  0.006001 0.0291803
     5      16      1951      1935   24.1831     2.375  0.006073 0.0329804
     6      16      1961      1945   20.2569     0.625   2.85777 0.0373237
     7      16      2046      2030   18.1221    5.3125  0.005905 0.0418215
     8      16      2046      2030    15.857         0         - 0.0418215
     9      16      2046      2030   14.0952         0         - 0.0418215
    10      16      2228      2212    13.823   3.79167  0.006133 0.0688738
    11      16      2228      2212   12.5664         0         - 0.0688738
    12      16      2767      2751   14.3261   16.8438  0.006118 0.0687983
    13      16      2767      2751   13.2241         0         - 0.0687983
    14      16      2800      2784   12.4269   1.03125  0.005639 0.0753569
    15      16      2819      2803   11.6776    1.1875  0.005501 0.0772979
    16      16      2838      2822    11.022    1.1875  0.005709 0.0793361
    17      16      3072      3056   11.2338    14.625  0.007395 0.0888766
    18      16      4054      4038    14.019    61.375  0.026721 0.0712761
    19      16      4446      4430   14.5705      24.5  0.005414 0.0667253
2013-09-25 09:00:08.582877min lat: 0.003689 max lat: 5.89611 avg lat: 0.0670856
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16      4462      4446    13.892         1  0.007973 0.0670856
    21      16      4462      4446   13.2304         0         - 0.0670856
    22      16      4462      4446   12.6291         0         - 0.0670856
    23      16      5090      5074   13.7863   13.0833   0.00634 0.0713761
    24      16      5767      5751   14.9746   42.3125  0.005982 0.0666618
    25      16      5835      5819   14.5456      4.25  0.005389 0.0660159
    26      16      5835      5819   13.9862         0         - 0.0660159
    27      16      5835      5819   13.4682         0         - 0.0660159
    28      16      5835      5819   12.9872         0         - 0.0660159
    29      16      5835      5819   12.5394         0         - 0.0660159
    30      16      5835      5819   12.1214         0         - 0.0660159
    31      16      5924      5908   11.9098  0.927083  0.005849 0.0832599
    32      16      6432      6416   12.5297     31.75  0.005877 0.0786618
    33      16      6692      6676   12.6424     16.25  0.005189 0.0789814
    34      16      7047      7031   12.9231   22.1875  0.005884 0.0761556
    35      16      7526      7510   13.4091   29.9375  0.005341 0.0744311
    36      16      7734      7718   13.3977        13  0.006341 0.0739606
    37      16      7958      7942   13.4139        14  0.008833 0.0745366
    38      16      8538      8522   14.0148     36.25  0.005902 0.0705826
    39      16      8538      8522   13.6554         0         - 0.0705826
2013-09-25 09:00:28.585145min lat: 0.003689 max lat: 6.78355 avg lat: 0.0705826
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16      8538      8522    13.314         0         - 0.0705826
    41      16      8538      8522   12.9893         0         - 0.0705826
    42      16      8538      8522     12.68         0         - 0.0705826
    43      16      8538      8522   12.3851         0         - 0.0705826
    44      16      8660      8644   12.2769   1.27083  0.005494 0.0805845
    45      16      8660      8644   12.0041         0         - 0.0805845
    46      16      8660      8644   11.7431         0         - 0.0805845
    47      16      8660      8644   11.4933         0         - 0.0805845
    48      16      8660      8644   11.2539         0         - 0.0805845
    49      16      8660      8644   11.0242         0         - 0.0805845
    50      16      8660      8644   10.8037         0         - 0.0805845
    51      16      9212      9196   11.2683   4.92857  0.004902 0.0887192
    52      16     10022     10006    12.025    50.625  0.006127 0.0829253
    53      16     10203     10187   12.0115   11.3125  0.006095 0.0831675
    54      16     11022     11006   12.7369   51.1875  0.007432 0.0784822
    55      16     11857     11841   13.4541   52.1875  0.005772 0.0740969
    56      16     11893     11877    13.254      2.25   0.00532 0.0738964
    57      16     11893     11877   13.0215         0         - 0.0738964
    58      16     11893     11877    12.797         0         - 0.0738964
    59      16     11986     11970   12.6786    1.9375  0.005667 0.0782405
2013-09-25 09:00:48.587434min lat: 0.003689 max lat: 7.00795 avg lat: 0.0778854
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    60      16     12261     12245   12.7537   17.1875  0.005594 0.0778854
    61      16     12496     12480   12.7854   14.6875  0.007151 0.0781441
    62      16     13078     13062   13.1658    36.375  0.006085 0.0754761
