 Maintaining 16 concurrent writes of 4194304 bytes for at least 300 seconds.
 Object prefix: benchmark_data_Client_4154
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16       111        95   379.844       380   0.16109   0.15617
     2      16       197       181   361.899       344  0.074212  0.163407
     3      16       293       277   369.243       384  0.144681  0.167617
     4      16       391       375   374.916       392  0.108664  0.164398
     5      16       489       473   378.318       392  0.068947  0.164977
     6      16       582       566   377.255       372  0.083162  0.162038
     7      16       624       608   347.357       168  0.078537  0.167125
     8      16       642       626   312.937        72  0.070829  0.165127
     9      16       648       632   280.835        24  0.080847  0.169457
    10      16       648       632   252.752         0         -  0.169457
    11      16       648       632   229.776         0         -  0.169457
    12      16       671       655   218.295   30.6667  0.087251  0.264728
    13      16       773       757   232.883       408   0.23375  0.272729
    14      16       838       822   234.816       260  0.076588  0.271131
    15      16       931       915   243.957       372  0.148495  0.258702
    16      16       986       970   242.458       220  0.078847  0.250155
    17      16      1014       998   234.783       112  0.069207  0.245698
    18      16      1060      1044    231.96       184  0.115758  0.266455
    19      16      1116      1100   231.539       224  0.074281   0.26213
2013-09-25 06:18:52.721941min lat: 0.061666 max lat: 6.4684 avg lat: 0.27909
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16      1153      1137    227.36       148  0.098731   0.27909
    21      16      1261      1245   237.101       432  0.141438  0.268926
    22      16      1355      1339   243.412       376   0.06842  0.261784
    23      16      1441      1425   247.782       344  0.120708  0.256312
    24      16      1535      1519   253.122       376   0.10147  0.251926
    25      16      1625      1609   257.395       360  0.071718  0.245208
    26      16      1702      1686    259.34       308  0.176147  0.243737
    27      16      1743      1727   255.808       164  0.138869  0.246379
    28      16      1846      1830   261.384       412  0.168142  0.244167
    29      16      1934      1918   264.507       352  0.120107   0.23958
    30      16      1957      1941   258.756        92  0.080754  0.237873
    31      16      1959      1943   250.667         8  0.071312  0.237703
    32      16      1997      1981   247.583       152  0.195983  0.249828
    33      16      2085      2069   250.745       352   0.21852  0.254355
    34      16      2178      2162    254.31       372  0.118312  0.250944
    35      16      2283      2267   259.042       420  0.134804  0.246559
    36      16      2374      2358   261.956       364  0.181001  0.243374
    37      16      2467      2451   264.929       372  0.072379   0.23932
    38      16      2534      2518   265.009       268  0.081121  0.236334
    39      16      2606      2590   265.597       288  0.219743  0.240442
2013-09-25 06:19:12.725074min lat: 0.061666 max lat: 6.4684 avg lat: 0.237347
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16      2705      2689   268.855       396   0.26813  0.237347
    41      16      2758      2742   267.468       212  0.211182     0.235
    42      16      2771      2755   262.338        52  0.069577  0.234248
    43      16      2772      2756    256.33         4  0.097255  0.234199
    44      16      2776      2760   250.868        16  0.080398     0.235
    45      16      2783      2767   245.915        28  0.077393  0.234646
    46      16      2783      2767    240.57         0         -  0.234646
    47      16      2783      2767   235.451         0         -  0.234646
    48      16      2783      2767   230.547         0         -  0.234646
    49      16      2783      2767   225.842         0         -  0.234646
    50      16      2783      2767   221.325         0         -  0.234646
    51      16      2783      2767   216.985         0         -  0.234646
    52      16      2783      2767   212.813         0         -  0.234646
    53      16      2783      2767   208.798         0         -  0.234646
    54      16      2841      2825   209.227   25.7778  0.141519  0.305264
    55      16      2952      2936   213.494       444  0.086691  0.299405
    56      16      3056      3040   217.109       416  0.093581  0.294311
    57      16      3152      3136   220.036       384  0.078361  0.289796
    58      16      3233      3217   221.827       324  0.074995   0.28794
    59      16      3327      3311    224.44       376  0.080347  0.284229
2013-09-25 06:19:32.727825min lat: 0.061666 max lat: 13.6233 avg lat: 0.281763
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    60      16      3375      3359   223.898       192  0.090946  0.281763
    61      16      3389      3373   221.146        56   1.48028   0.28534
    62      16      3484      3468   223.707       380  0.166579  0.285538
    63      16      3536      3520   223.457       208  0.997546   0.28413
    64      16      3567      3551   221.903       124  0.067962  0.282849
    65      16      3567      3551   218.489         0         -  0.282849
    66      16      3567      3551   215.179         0         -  0.282849
    67      16      3656      3640    217.28   118.667    0.0973  0.294143
    68      16      3759      3743   220.143       412  0.202226    0.2903
    69      16      3852      3836   222.343       372   0.09555  0.287472
    70      16      3945      3929    224.48       372  0.106185  0.284672
    71      16      4042      4026   226.782       388   0.23286  0.281852
